Month,Energy (GJ),Remark
May-21,16375.7692,
Jun-21,17931.8856,
Jul-21,18920.3779,
Aug-21,19689.2515,
Sep-21,20596.8305,
Oct-21,19725.3347,
Nov-21,17296.3844,
Dec-21,18484.5824,
Jan-22,19456.7534,
Feb-22,20017.2266,
Mar-22,23155.0945917,
Apr-22,22597.901908734,
May-22,15887.408799267,
Jun-22,13787.389648034,
Jul-22,17305.0033201265,
Aug-22,17579.12207875,
Sep-22,16840.692858659,
Oct-22,18985.3409379015,
Nov-22,14361.31335745,
Dec-22,18198.836555815,
Jan-23,19111.156010245,
Feb-23,18541.3504854465,
Mar-23,19561.88574,
Apr-23,13052.0762,Lebaran
May-23,20109.645695,
Jun-23,17342.74552,OH
Jul-23,18032.40023,
Aug-23,19528.342123276,
Sep-23,17610.5904644775,
Oct-23,20179.698785,OH
Nov-23,13187.62282,OH
Dec-23,17518.1208,OFF
Jan-24,18176.393180355,
Feb-24,18953.06679,
Mar-24,20476.76427,
Apr-24,15447.698715,Lebaran
May-24,21360.62353,
Jun-24,18708.99243,
Jul-24,24466.50217,
Aug-24,23809.246845,
Sep-24,22534.26511,OH
Oct-24,22741.741485,
Nov-24,19227.28573,OH
Dec-24,25563.633375,
